
X [ m ], Y [ m ], Z [ m ], Velocity u [ m s^-1 ]
5.87500000e+00, 4.80453348e+00, -1.02500000e+01, -6.54572129e-01
5.87500000e+00, 4.79039192e+00, -1.02500000e+01, -6.43737793e-01
5.87500000e+00, 4.77625036e+00, -1.02500000e+01, -6.33184373e-01
5.87500000e+00, 4.76210880e+00, -1.02500000e+01, -6.22631848e-01
5.87500000e+00, 4.74796724e+00, -1.02500000e+01, -6.12079322e-01
5.87500000e+00, 4.73382568e+00, -1.02500000e+01, -6.01526737e-01
5.87500000e+00, 4.71968412e+00, -1.02500000e+01, -5.90974271e-01
5.87500000e+00, 4.70554256e+00, -1.02500000e+01, -5.70721030e-01
5.87500000e+00, 4.69140100e+00, -1.02500000e+01, -5.48936486e-01
5.87500000e+00, 4.67725945e+00, -1.02500000e+01, -5.31504035e-01
5.87500000e+00, 4.66311789e+00, -1.02500000e+01, -5.14320076e-01
5.87500000e+00, 4.64897633e+00, -1.02500000e+01, -4.97135699e-01
5.87500000e+00, 4.63483477e+00, -1.02500000e+01, -4.79948163e-01
5.87500000e+00, 4.62069321e+00, -1.02500000e+01, -4.59143966e-01
5.87500000e+00, 4.60655165e+00, -1.02500000e+01, -4.10394639e-01
5.87500000e+00, 4.59241009e+00, -1.02500000e+01, -3.88799071e-01
5.87500000e+00, 4.57826853e+00, -1.02500000e+01, -3.67666274e-01
5.87500000e+00, 4.56412697e+00, -1.02500000e+01, -3.43915522e-01
5.87500000e+00, 4.54998541e+00, -1.02500000e+01, 0.00000000e+00

X [ m ], Y [ m ], Z [ m ], Velocity u [ m s^-1 ]
5.87500000e+00, 5.94999981e+00, -1.02500000e+01, 0.00000000e+00
5.87500000e+00, 5.93585825e+00, -1.02500000e+01, 1.87723041e+00
5.87500000e+00, 5.92171669e+00, -1.02500000e+01, 1.88116944e+00
5.87500000e+00, 5.90757513e+00, -1.02500000e+01, 1.85525417e+00
5.87500000e+00, 5.89343357e+00, -1.02500000e+01, 1.81780577e+00
5.87500000e+00, 5.87929201e+00, -1.02500000e+01, 1.70757103e+00
5.87500000e+00, 5.86515045e+00, -1.02500000e+01, 1.66245437e+00
5.87500000e+00, 5.85100889e+00, -1.02500000e+01, 1.61733878e+00
5.87500000e+00, 5.83686733e+00, -1.02500000e+01, 1.56831670e+00
5.87500000e+00, 5.82272577e+00, -1.02500000e+01, 1.50974441e+00
5.87500000e+00, 5.80858421e+00, -1.02500000e+01, 1.45117176e+00
5.87500000e+00, 5.79444265e+00, -1.02500000e+01, 1.39259911e+00
5.87500000e+00, 5.78030109e+00, -1.02500000e+01, 1.33402658e+00
5.87500000e+00, 5.76615953e+00, -1.02500000e+01, 1.27775443e+00
5.87500000e+00, 5.75201797e+00, -1.02500000e+01, 1.22238588e+00
5.87500000e+00, 5.73787642e+00, -1.02500000e+01, 1.15601456e+00
5.87500000e+00, 5.72373486e+00, -1.02500000e+01, 1.08947730e+00
5.87500000e+00, 5.70959330e+00, -1.02500000e+01, 1.02294028e+00
5.87500000e+00, 5.69545174e+00, -1.02500000e+01, 9.56402540e-01
5.87500000e+00, 5.68131018e+00, -1.02500000e+01, 8.89865279e-01
5.87500000e+00, 5.66716862e+00, -1.02500000e+01, 8.18010092e-01
5.87500000e+00, 5.65302706e+00, -1.02500000e+01, 7.38030672e-01
